Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
BL0,CO,01/01/2021 00:00,,mg m-3,P
BL0,CO,01/01/2021 00:15,,mg m-3,P
BL0,CO,01/01/2021 00:30,,mg m-3,P
BL0,CO,01/01/2021 00:45,,mg m-3,P
BL0,CO,01/01/2021 01:00,,mg m-3,P
BL0,CO,01/01/2021 01:15,,mg m-3,P
BL0,CO,01/01/2021 01:30,,mg m-3,P
BL0,CO,01/01/2021 01:45,,mg m-3,P
BL0,CO,01/01/2021 02:00,,mg m-3,P
BL0,CO,01/01/2021 02:15,,mg m-3,P
BL0,CO,01/01/2021 02:30,,mg m-3,P
BL0,CO,01/01/2021 02:45,,mg m-3,P
BL0,CO,01/01/2021 03:00,,mg m-3,P
BL0,CO,01/01/2021 03:15,,mg m-3,P
BL0,CO,01/01/2021 03:30,,mg m-3,P
BL0,CO,01/01/2021 03:45,,mg m-3,P
BL0,CO,01/01/2021 04:00,,mg m-3,P
BL0,CO,01/01/2021 04:15,,mg m-3,P
BL0,CO,01/01/2021 04:30,,mg m-3,P
BL0,CO,01/01/2021 04:45,,mg m-3,P
BL0,NO,01/01/2021 00:00,5.40000,ug m-3,P
BL0,NO,01/01/2021 00:15,5.40000,ug m-3,P
BL0,NO,01/01/2021 00:30,5.40000,ug m-3,P
BL0,NO,01/01/2021 00:45,5.40000,ug m-3,P
BL0,NO,01/01/2021 01:00,3.50000,ug m-3,P
BL0,NO,01/01/2021 01:15,3.50000,ug m-3,P
BL0,NO,01/01/2021 01:30,3.50000,ug m-3,P
BL0,NO,01/01/2021 01:45,3.50000,ug m-3,P
BL0,NO,01/01/2021 02:00,2.50000,ug m-3,P
BL0,NO,01/01/2021 02:15,2.50000,ug m-3,P
BL0,NO,01/01/2021 02:30,2.50000,ug m-3,P
BL0,NO,01/01/2021 02:45,2.50000,ug m-3,P
BL0,NO,01/01/2021 03:00,20.30000,ug m-3,P
BL0,NO,01/01/2021 03:15,20.30000,ug m-3,P
BL0,NO,01/01/2021 03:30,20.30000,ug m-3,P
BL0,NO,01/01/2021 03:45,20.30000,ug m-3,P
BL0,NO,01/01/2021 04:00,,ug m-3,P
BL0,NO,01/01/2021 04:15,,ug m-3,P
BL0,NO,01/01/2021 04:30,,ug m-3,P
BL0,NO,01/01/2021 04:45,,ug m-3,P
BL0,NOX,01/01/2021 00:00,,ug m-3 as NO2,P
BL0,NOX,01/01/2021 00:15,,ug m-3 as NO2,P
BL0,NOX,01/01/2021 00:30,,ug m-3 as NO2,P
BL0,NOX,01/01/2021 00:45,,ug m-3 as NO2,P
BL0,NOX,01/01/2021 01:00,,ug m-3 as NO2,P
BL0,NOX,01/01/2021 01:15,,ug m-3 as NO2,P
BL0,NOX,01/01/2021 01:30,,ug m-3 as NO2,P
