Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
CT3,CO,01/01/2021 00:00,,mg m-3,P
CT3,CO,01/01/2021 00:15,,mg m-3,P
CT3,CO,01/01/2021 00:30,,mg m-3,P
CT3,CO,01/01/2021 00:45,,mg m-3,P
CT3,CO,01/01/2021 01:00,,mg m-3,P
CT3,CO,01/01/2021 01:15,,mg m-3,P
CT3,CO,01/01/2021 01:30,,mg m-3,P
CT3,CO,01/01/2021 01:45,,mg m-3,P
CT3,CO,01/01/2021 02:00,,mg m-3,P
CT3,CO,01/01/2021 02:15,,mg m-3,P
CT3,CO,01/01/2021 02:30,,mg m-3,P
CT3,CO,01/01/2021 02:45,,mg m-3,P
CT3,CO,01/01/2021 03:00,,mg m-3,P
CT3,CO,01/01/2021 03:15,,mg m-3,P
CT3,CO,01/01/2021 03:30,,mg m-3,P
CT3,CO,01/01/2021 03:45,,mg m-3,P
CT3,CO,01/01/2021 04:00,,mg m-3,P
CT3,CO,01/01/2021 04:15,,mg m-3,P
CT3,CO,01/01/2021 04:30,,mg m-3,P
CT3,CO,01/01/2021 04:45,,mg m-3,P
CT3,NO,01/01/2021 00:00,0.70000,ug m-3,P
CT3,NO,01/01/2021 00:15,,ug m-3,P
CT3,NO,01/01/2021 00:30,,ug m-3,P
CT3,NO,01/01/2021 00:45,,ug m-3,P
CT3,NO,01/01/2021 01:00,,ug m-3,P
CT3,NO,01/01/2021 01:15,2.00000,ug m-3,P
CT3,NO,01/01/2021 01:30,1.90000,ug m-3,P
CT3,NO,01/01/2021 01:45,2.10000,ug m-3,P
CT3,NO,01/01/2021 02:00,2.30000,ug m-3,P
CT3,NO,01/01/2021 02:15,1.70000,ug m-3,P
CT3,NO,01/01/2021 02:30,2.00000,ug m-3,P
CT3,NO,01/01/2021 02:45,1.90000,ug m-3,P
CT3,NO,01/01/2021 03:00,1.70000,ug m-3,P
CT3,NO,01/01/2021 03:15,1.50000,ug m-3,P
CT3,NO,01/01/2021 03:30,1.60000,ug m-3,P
CT3,NO,01/01/2021 03:45,1.40000,ug m-3,P
CT3,NO,01/01/2021 04:00,,ug m-3,P
CT3,NO,01/01/2021 04:15,,ug m-3,P
CT3,NO,01/01/2021 04:30,,ug m-3,P
CT3,NO,01/01/2021 04:45,,ug m-3,P
CT3,NOX,01/01/2021 00:00,-2.10000,ug m-3 as NO2,P
CT3,NOX,01/01/2021 00:15,,ug m-3 as NO2,P
CT3,NOX,01/01/2021 00:30,,ug m-3 as NO2,P
CT3,NOX,01/01/2021 00:45,,ug m-3 as NO2,P
CT3,NOX,01/01/2021 01:00,,ug m-3 as NO2,P
CT3,NOX,01/01/2021 01:15,19.50000,ug m-3 as NO2,P
CT3,NOX,01/01/2021 01:30,17.70000,ug m-3 as NO2,P
CT3,NOX,01/01/2021 01:45,15.30000,ug m-3 as NO2,P
CT3,NOX,01/01/2021 02:00,15.80000,ug m-3 as NO2,P
CT3,NOX,01/01/2021 02:15,13.70000,ug m-3 as NO2,P
CT3,NOX,01/01/2021 02:30,15.00000,ug m-3 as NO2,P
CT3,NOX,01/01/2021 02:45,13.40000,ug m-3 as NO2,P
CT3,NOX,01/01/2021 03:00,11.80000,ug m-3 as NO2,P
CT3,NOX,01/01/2021 03:15,11.90000,ug m-3 as NO2,P
CT3,NOX,01/01/2021 03:30,15.20000,ug m-3 as NO2,P
CT3,NOX,01/01/2021 03:45,14.50000,ug m-3 as NO2,P
CT3,NOX,01/01/2021 04:00,,ug m-3 as NO2,P
CT3,NOX,01/01/2021 04:15,,ug m-3 as NO2,P
CT3,NOX,01/01/2021 04:30,,ug m-3 as NO2,P
CT3,NOX,01/01/2021 04:45,,ug m-3 as NO2,P
CT3,PM10,01/01/2021 00:00,24.00000,ug/m3,P
CT3,PM10,01/01/2021 00:15,24.00000,ug/m3,P
CT3,PM10,01/01/2021 00:30,24.00000,ug/m3,P
CT3,PM10,01/01/2021 00:45,24.00000,ug/m3,P
CT3,PM10,01/01/2021 01:00,17.00000,ug/m3,P
CT3,PM10,01/01/2021 01:15,17.00000,ug/m3,P
CT3,PM10,01/01/2021 01:30,17.00000,ug/m3,P
CT3,PM10,01/01/2021 01:45,17.00000,ug/m3,P
CT3,PM10,01/01/2021 02:00,16.00000,ug/m3,P
CT3,PM10,01/01/2021 02:15,16.00000,ug/m3,P
CT3,PM10,01/01/2021 02:30,16.00000,ug/m3,P
CT3,PM10,01/01/2021 02:45,16.00000,ug/m3,P
CT3,PM10,01/01/2021 03:00,16.00000,ug/m3,P
CT3,PM10,01/01/2021 03:15,16.00000,ug/m3,P
CT3,PM10,01/01/2021 03:30,16.00000,ug/m3,P
CT3,PM10,01/01/2021 03:45,16.00000,ug/m3,P
CT3,PM10,01/01/2021 04:00,,ug/m3,P
CT3,PM10,01/01/2021 04:15,,ug/m3,P
CT3,PM10,01/01/2021 04:30,,ug/m3,P
CT3,PM10,01/01/2021 04:45,,ug/m3,P
CT3,PM2.5,01/01/2021 00:00,,ug m-3,P
CT3,PM2.5,01/01/2021 00:15,,ug m-3,P
CT3,PM2.5,01/01/2021 00:30,,ug m-3,P
CT3,PM2.5,01/01/2021 00:45,,ug m-3,P
CT3,PM2.5,01/01/2021 01:00,,ug m-3,P
CT3,PM2.5,01/01/2021 01:15,,ug m-3,P
CT3,PM2.5,01/01/2021 01:30,,ug m-3,P
CT3,PM2.5,01/01/2021 01:45,,ug m-3,P
CT3,PM2.5,01/01/2021 02:00,,ug m-3,P
CT3,PM2.5,01/01/2021 02:15,,ug m-3,P
CT3,PM2.5,01/01/2021 02:30,,ug m-3,P
CT3,PM2.5,01/01/2021 02:45,,ug m-3,P
CT3,PM2.5,01/01/2021 03:00,,ug m-3,P
CT3,PM2.5,01/01/2021 03:15,,ug m-3,P
CT3,PM2.5,01/01/2021 03:30,,ug m-3,P
CT3,PM2.5,01/01/2021 03:45,,ug m-3,P
CT3,PM2.5,01/01/2021 04:00,,ug m-3,P
CT3,PM2.5,01/01/2021 04:15,,ug m-3,P
CT3,PM2.5,01/01/2021 04:30,,ug m-3,P
CT3,PM2.5,01/01/2021 04:45,,ug m-3,P
