Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
HG1,CO,01/01/2021 00:00,,mg m-3,P
HG1,CO,01/01/2021 00:15,,mg m-3,P
HG1,CO,01/01/2021 00:30,,mg m-3,P
HG1,CO,01/01/2021 00:45,,mg m-3,P
HG1,CO,01/01/2021 01:00,,mg m-3,P
HG1,CO,01/01/2021 01:15,,mg m-3,P
HG1,CO,01/01/2021 01:30,,mg m-3,P
HG1,CO,01/01/2021 01:45,,mg m-3,P
HG1,CO,01/01/2021 02:00,,mg m-3,P
HG1,CO,01/01/2021 02:15,,mg m-3,P
HG1,CO,01/01/2021 02:30,,mg m-3,P
HG1,CO,01/01/2021 02:45,,mg m-3,P
HG1,CO,01/01/2021 03:00,,mg m-3,P
HG1,CO,01/01/2021 03:15,,mg m-3,P
HG1,CO,01/01/2021 03:30,,mg m-3,P
HG1,CO,01/01/2021 03:45,,mg m-3,P
HG1,CO,01/01/2021 04:00,,mg m-3,P
HG1,CO,01/01/2021 04:15,,mg m-3,P
HG1,CO,01/01/2021 04:30,,mg m-3,P
HG1,CO,01/01/2021 04:45,,mg m-3,P
HG1,CO,01/01/2021 05:00,,mg m-3,P
HG1,CO,01/01/2021 05:15,,mg m-3,P
HG1,CO,01/01/2021 05:30,,mg m-3,P
HG1,CO,01/01/2021 05:45,,mg m-3,P
HG1,CO,01/01/2021 06:00,,mg m-3,P
HG1,CO,01/01/2021 06:15,,mg m-3,P
HG1,CO,01/01/2021 06:30,,mg m-3,P
HG1,CO,01/01/2021 06:45,,mg m-3,P
HG1,CO,01/01/2021 07:00,,mg m-3,P
HG1,CO,01/01/2021 07:15,,mg m-3,P
HG1,CO,01/01/2021 07:30,,mg m-3,P
HG1,CO,01/01/2021 07:45,,mg m-3,P
HG1,CO,01/01/2021 08:00,,mg m-3,P
HG1,CO,01/01/2021 08:15,,mg m-3,P
HG1,CO,01/01/2021 08:30,,mg m-3,P
HG1,CO,01/01/2021 08:45,,mg m-3,P
HG1,CO,01/01/2021 09:00,,mg m-3,P
HG1,CO,01/01/2021 09:15,,mg m-3,P
HG1,CO,01/01/2021 09:30,,mg m-3,P
HG1,CO,01/01/2021 09:45,,mg m-3,P
HG1,CO,01/01/2021 10:00,,mg m-3,P
HG1,CO,01/01/2021 10:15,,mg m-3,P
HG1,CO,01/01/2021 10:30,,mg m-3,P
HG1,CO,01/01/2021 10:45,,mg m-3,P
HG1,CO,01/01/2021 11:00,,mg m-3,P
HG1,CO,01/01/2021 11:15,,mg m-3,P
HG1,CO,01/01/2021 11:30,,mg m-3,P
HG1,CO,01/01/2021 11:45,,mg m-3,P
HG1,CO,01/01/2021 12:00,,mg m-3,P
HG1,CO,01/01/2021 12:15,,mg m-3,P
HG1,CO,01/01/2021 12:30,,mg m-3,P
HG1,CO,01/01/2021 12:45,,mg m-3,P
HG1,CO,01/01/2021 13:00,,mg m-3,P
HG1,CO,01/01/2021 13:15,,mg m-3,P
HG1,CO,01/01/2021 13:30,,mg m-3,P
HG1,CO,01/01/2021 13:45,,mg m-3,P
HG1,CO,01/01/2021 14:00,,mg m-3,P
HG1,CO,01/01/2021 14:15,,mg m-3,P
HG1,CO,01/01/2021 14:30,,mg m-3,P
HG1,NO,01/01/2021 00:00,12.70000,ug m-3,P
HG1,NO,01/01/2021 00:15,9.30000,ug m-3,P
HG1,NO,01/01/2021 00:30,7.50000,ug m-3,P
HG1,NO,01/01/2021 00:45,,ug m-3,P
HG1,NO,01/01/2021 01:00,,ug m-3,P
HG1,NO,01/01/2021 01:15,4.90000,ug m-3,P
HG1,NO,01/01/2021 01:30,3.40000,ug m-3,P
HG1,NO,01/01/2021 01:45,3.50000,ug m-3,P
HG1,NO,01/01/2021 02:00,10.30000,ug m-3,P
HG1,NO,01/01/2021 02:15,2.20000,ug m-3,P
HG1,NO,01/01/2021 02:30,3.50000,ug m-3,P
HG1,NO,01/01/2021 02:45,1.30000,ug m-3,P
HG1,NO,01/01/2021 03:00,7.40000,ug m-3,P
HG1,NO,01/01/2021 03:15,4.30000,ug m-3,P
HG1,NO,01/01/2021 03:30,5.20000,ug m-3,P
HG1,NO,01/01/2021 03:45,8.30000,ug m-3,P
HG1,NO,01/01/2021 04:00,4.30000,ug m-3,P
HG1,NO,01/01/2021 04:15,2.70000,ug m-3,P
HG1,NO,01/01/2021 04:30,3.20000,ug m-3,P
HG1,NO,01/01/2021 04:45,2.70000,ug m-3,P
HG1,NO,01/01/2021 05:00,2.90000,ug m-3,P
HG1,NO,01/01/2021 05:15,2.80000,ug m-3,P
