Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
KC1,CO,01/01/2021 00:00,0.40000,mg m-3,P
KC1,CO,01/01/2021 00:15,0.40000,mg m-3,P
KC1,CO,01/01/2021 00:30,0.40000,mg m-3,P
KC1,CO,01/01/2021 00:45,,mg m-3,P
KC1,CO,01/01/2021 01:00,,mg m-3,P
KC1,CO,01/01/2021 01:15,0.40000,mg m-3,P
KC1,CO,01/01/2021 01:30,0.40000,mg m-3,P
KC1,CO,01/01/2021 01:45,0.40000,mg m-3,P
KC1,CO,01/01/2021 02:00,0.40000,mg m-3,P
KC1,CO,01/01/2021 02:15,0.40000,mg m-3,P
KC1,CO,01/01/2021 02:30,0.40000,mg m-3,P
KC1,CO,01/01/2021 02:45,0.30000,mg m-3,P
KC1,CO,01/01/2021 03:00,0.30000,mg m-3,P
KC1,CO,01/01/2021 03:15,0.30000,mg m-3,P
KC1,CO,01/01/2021 03:30,0.40000,mg m-3,P
KC1,CO,01/01/2021 03:45,0.40000,mg m-3,P
KC1,CO,01/01/2021 04:00,0.40000,mg m-3,P
KC1,CO,01/01/2021 04:15,0.40000,mg m-3,P
KC1,CO,01/01/2021 04:30,0.40000,mg m-3,P
KC1,CO,01/01/2021 04:45,0.40000,mg m-3,P
KC1,CO,01/01/2021 05:00,0.40000,mg m-3,P
KC1,CO,01/01/2021 05:15,0.40000,mg m-3,P
KC1,CO,01/01/2021 05:30,0.40000,mg m-3,P
KC1,CO,01/01/2021 05:45,0.40000,mg m-3,P
KC1,CO,01/01/2021 06:00,0.40000,mg m-3,P
KC1,CO,01/01/2021 06:15,0.40000,mg m-3,P
KC1,CO,01/01/2021 06:30,0.40000,mg m-3,P
KC1,CO,01/01/2021 06:45,0.40000,mg m-3,P
KC1,CO,01/01/2021 07:00,0.40000,mg m-3,P
KC1,CO,01/01/2021 07:15,0.40000,mg m-3,P
KC1,CO,01/01/2021 07:30,0.40000,mg m-3,P
KC1,CO,01/01/2021 07:45,0.40000,mg m-3,P
KC1,CO,01/01/2021 08:00,0.40000,mg m-3,P
KC1,CO,01/01/2021 08:15,0.40000,mg m-3,P
KC1,CO,01/01/2021 08:30,0.40000,mg m-3,P
KC1,CO,01/01/2021 08:45,0.40000,mg m-3,P
KC1,CO,01/01/2021 09:00,0.40000,mg m-3,P
KC1,CO,01/01/2021 09:15,0.40000,mg m-3,P
KC1,CO,01/01/2021 09:30,0.40000,mg m-3,P
KC1,CO,01/01/2021 09:45,0.40000,mg m-3,P
KC1,CO,01/01/2021 10:00,0.40000,mg m-3,P
KC1,CO,01/01/2021 10:15,0.40000,mg m-3,P
KC1,CO,01/01/2021 10:30,0.40000,mg m-3,P
KC1,CO,01/01/2021 10:45,0.40000,mg m-3,P
KC1,CO,01/01/2021 11:00,0.40000,mg m-3,P
KC1,CO,01/01/2021 11:15,0.40000,mg m-3,P
KC1,CO,01/01/2021 11:30,0.40000,mg m-3,P
KC1,CO,01/01/2021 11:45,0.40000,mg m-3,P
KC1,CO,01/01/2021 12:00,0.40000,mg m-3,P
KC1,CO,01/01/2021 12:15,0.40000,mg m-3,P
KC1,CO,01/01/2021 12:30,0.40000,mg m-3,P
KC1,CO,01/01/2021 12:45,0.40000,mg m-3,P
KC1,CO,01/01/2021 13:00,0.40000,mg m-3,P
KC1,CO,01/01/2021 13:15,0.50000,mg m-3,P
KC1,CO,01/01/2021 13:30,0.50000,mg m-3,P
KC1,CO,01/01/2021 13:45,0.50000,mg m-3,P
KC1,CO,01/01/2021 14:00,,mg m-3,P
KC1,CO,01/01/2021 14:15,,mg m-3,P
KC1,CO,01/01/2021 14:30,,mg m-3,P
KC1,NO,01/01/2021 00:00,2.00000,ug m-3,P
KC1,NO,01/01/2021 00:15,1.40000,ug m-3,P
KC1,NO,01/01/2021 00:30,1.00000,ug m-3,P
KC1,NO,01/01/2021 00:45,,ug m-3,P
KC1,NO,01/01/2021 01:00,,ug m-3,P
KC1,NO,01/01/2021 01:15,0.70000,ug m-3,P
KC1,NO,01/01/2021 01:30,1.40000,ug m-3,P
KC1,NO,01/01/2021 01:45,11.20000,ug m-3,P
KC1,NO,01/01/2021 02:00,2.40000,ug m-3,P
KC1,NO,01/01/2021 02:15,1.40000,ug m-3,P
KC1,NO,01/01/2021 02:30,1.10000,ug m-3,P
KC1,NO,01/01/2021 02:45,0.50000,ug m-3,P
KC1,NO,01/01/2021 03:00,0.20000,ug m-3,P
KC1,NO,01/01/2021 03:15,0.50000,ug m-3,P
KC1,NO,01/01/2021 03:30,0.70000,ug m-3,P
KC1,NO,01/01/2021 03:45,2.20000,ug m-3,P
KC1,NO,01/01/2021 04:00,1.80000,ug m-3,P
KC1,NO,01/01/2021 04:15,1.30000,ug m-3,P
KC1,NO,01/01/2021 04:30,0.70000,ug m-3,P
KC1,NO,01/01/2021 04:45,1.10000,ug m-3,P
