Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
TH4,CO,01/01/2021 00:00,,mg m-3,P
TH4,CO,01/01/2021 00:15,,mg m-3,P
TH4,CO,01/01/2021 00:30,,mg m-3,P
TH4,CO,01/01/2021 00:45,,mg m-3,P
TH4,CO,01/01/2021 01:00,,mg m-3,P
TH4,CO,01/01/2021 01:15,,mg m-3,P
TH4,CO,01/01/2021 01:30,,mg m-3,P
TH4,CO,01/01/2021 01:45,,mg m-3,P
TH4,CO,01/01/2021 02:00,,mg m-3,P
TH4,CO,01/01/2021 02:15,,mg m-3,P
TH4,CO,01/01/2021 02:30,,mg m-3,P
TH4,CO,01/01/2021 02:45,,mg m-3,P
TH4,CO,01/01/2021 03:00,,mg m-3,P
TH4,CO,01/01/2021 03:15,,mg m-3,P
TH4,CO,01/01/2021 03:30,,mg m-3,P
TH4,CO,01/01/2021 03:45,,mg m-3,P
TH4,CO,01/01/2021 04:00,,mg m-3,P
TH4,CO,01/01/2021 04:15,,mg m-3,P
TH4,CO,01/01/2021 04:30,,mg m-3,P
TH4,CO,01/01/2021 04:45,,mg m-3,P
TH4,CO,01/01/2021 05:00,,mg m-3,P
TH4,CO,01/01/2021 05:15,,mg m-3,P
TH4,CO,01/01/2021 05:30,,mg m-3,P
TH4,CO,01/01/2021 05:45,,mg m-3,P
TH4,CO,01/01/2021 06:00,,mg m-3,P
TH4,CO,01/01/2021 06:15,,mg m-3,P
TH4,CO,01/01/2021 06:30,,mg m-3,P
TH4,CO,01/01/2021 06:45,,mg m-3,P
TH4,CO,01/01/2021 07:00,,mg m-3,P
TH4,CO,01/01/2021 07:15,,mg m-3,P
TH4,CO,01/01/2021 07:30,,mg m-3,P
TH4,CO,01/01/2021 07:45,,mg m-3,P
TH4,CO,01/01/2021 08:00,,mg m-3,P
TH4,CO,01/01/2021 08:15,,mg m-3,P
TH4,CO,01/01/2021 08:30,,mg m-3,P
TH4,CO,01/01/2021 08:45,,mg m-3,P
TH4,CO,01/01/2021 09:00,,mg m-3,P
TH4,CO,01/01/2021 09:15,,mg m-3,P
TH4,CO,01/01/2021 09:30,,mg m-3,P
TH4,CO,01/01/2021 09:45,,mg m-3,P
TH4,CO,01/01/2021 10:00,,mg m-3,P
TH4,CO,01/01/2021 10:15,,mg m-3,P
TH4,CO,01/01/2021 10:30,,mg m-3,P
TH4,CO,01/01/2021 10:45,,mg m-3,P
TH4,CO,01/01/2021 11:00,,mg m-3,P
TH4,CO,01/01/2021 11:15,,mg m-3,P
TH4,CO,01/01/2021 11:30,,mg m-3,P
TH4,CO,01/01/2021 11:45,,mg m-3,P
TH4,CO,01/01/2021 12:00,,mg m-3,P
TH4,CO,01/01/2021 12:15,,mg m-3,P
TH4,CO,01/01/2021 12:30,,mg m-3,P
TH4,CO,01/01/2021 12:45,,mg m-3,P
TH4,CO,01/01/2021 13:00,,mg m-3,P
TH4,CO,01/01/2021 13:15,,mg m-3,P
TH4,CO,01/01/2021 13:30,,mg m-3,P
TH4,CO,01/01/2021 13:45,,mg m-3,P
TH4,CO,01/01/2021 14:00,,mg m-3,P
TH4,CO,01/01/2021 14:15,,mg m-3,P
TH4,CO,01/01/2021 14:30,,mg m-3,P
TH4,NO,01/01/2021 00:00,21.30000,ug m-3,P
TH4,NO,01/01/2021 00:15,23.10000,ug m-3,P
TH4,NO,01/01/2021 00:30,23.70000,ug m-3,P
TH4,NO,01/01/2021 00:45,,ug m-3,P
TH4,NO,01/01/2021 01:00,,ug m-3,P
TH4,NO,01/01/2021 01:15,24.10000,ug m-3,P
TH4,NO,01/01/2021 01:30,21.40000,ug m-3,P
TH4,NO,01/01/2021 01:45,9.20000,ug m-3,P
TH4,NO,01/01/2021 02:00,14.40000,ug m-3,P
TH4,NO,01/01/2021 02:15,14.10000,ug m-3,P
TH4,NO,01/01/2021 02:30,15.50000,ug m-3,P
TH4,NO,01/01/2021 02:45,12.30000,ug m-3,P
TH4,NO,01/01/2021 03:00,13.30000,ug m-3,P
TH4,NO,01/01/2021 03:15,12.20000,ug m-3,P
TH4,NO,01/01/2021 03:30,10.40000,ug m-3,P
TH4,NO,01/01/2021 03:45,9.80000,ug m-3,P
TH4,NO,01/01/2021 04:00,8.00000,ug m-3,P
TH4,NO,01/01/2021 04:15,13.10000,ug m-3,P
TH4,NO,01/01/2021 04:30,13.00000,ug m-3,P
TH4,NO,01/01/2021 04:45,10.50000,ug m-3,P
TH4,NO,01/01/2021 05:00,6.30000,ug m-3,P
TH4,NO,01/01/2021 05:15,8.10000,ug m-3,P
TH4,NO,01/01/2021 05:30,12.60000,ug m-3,P
TH4,NO,01/01/2021 05:45,11.50000,ug m-3,P
TH4,NO,01/01/2021 06:00,12.80000,ug m-3,P
TH4,NO,01/01/2021 06:15,14.60000,ug m-3,P
TH4,NO,01/01/2021 06:30,13.70000,ug m-3,P
TH4,NO,01/01/2021 06:45,12.00000,ug m-3,P
TH4,NO,01/01/2021 07:00,12.00000,ug m-3,P
TH4,NO,01/01/2021 07:15,12.30000,ug m-3,P
TH4,NO,01/01/2021 07:30,22.60000,ug m-3,P
TH4,NO,01/01/2021 07:45,13.50000,ug m-3,P
TH4,NO,01/01/2021 08:00,12.20000,ug m-3,P
TH4,NO,01/01/2021 08:15,15.40000,ug m-3,P
TH4,NO,01/01/2021 08:30,10.00000,ug m-3,P
TH4,NO,01/01/2021 08:45,19.20000,ug m-3,P
TH4,NO,01/01/2021 09:00,16.60000,ug m-3,P
TH4,NO,01/01/2021 09:15,19.60000,ug m-3,P
TH4,NO,01/01/2021 09:30,19.00000,ug m-3,P
TH4,NO,01/01/2021 09:45,18.60000,ug m-3,P
TH4,NO,01/01/2021 10:00,15.70000,ug m-3,P
TH4,NO,01/01/2021 10:15,17.00000,ug m-3,P
TH4,NO,01/01/2021 10:30,25.60000,ug m-3,P
TH4,NO,01/01/2021 10:45,28.00000,ug m-3,P
TH4,NO,01/01/2021 11:00,20.40000,ug m-3,P
TH4,NO,01/01/2021 11:15,27.30000,ug m-3,P
TH4,NO,01/01/2021 11:30,22.10000,ug m-3,P
TH4,NO,01/01/2021 11:45,28.50000,ug m-3,P
TH4,NO,01/01/2021 12:00,28.00000,ug m-3,P
TH4,NO,01/01/2021 12:15,32.30000,ug m-3,P
TH4,NO,01/01/2021 12:30,33.90000,ug m-3,P
TH4,NO,01/01/2021 12:45,30.10000,ug m-3,P
TH4,NO,01/01/2021 13:00,40.30000,ug m-3,P
TH4,NO,01/01/2021 13:15,45.50000,ug m-3,P
TH4,NO,01/01/2021 13:30,43.90000,ug m-3,P
TH4,NO,01/01/2021 13:45,44.80000,ug m-3,P
TH4,NO,01/01/2021 14:00,,ug m-3,P
TH4,NO,01/01/2021 14:15,,ug m-3,P
TH4,NO,01/01/2021 14:30,,ug m-3,P
TH4,NOX,01/01/2021 00:00,72.70000,ug m-3 as NO2,P
